Model,Buy&Hold
10000.0,10000.000000000002
10159.196617126465,10169.690051102865
10159.196617126465,10937.096990666076
10077.137840270996,10826.768073467798
10110.597831726076,10853.401661867785
10215.147987365717,11057.0405071603
10215.147987365717,10878.262950206325
10099.10970306396,10748.318175618073
9598.469322204584,10668.443574417324
9490.469322204584,10805.998269155678
9490.469322204584,10925.920068048266
9592.801292419428,11046.620652810712
9592.801292419428,10752.613008643108
9573.698745727534,10742.453441442813
9573.698745727534,10427.821460499048
9563.441581726069,10414.635650843244
9563.441581726069,10698.400076961161
9415.510864257807,10529.800947821204
9426.292160034174,10648.292753903943
9426.292160034174,10675.266611351371
9321.840080261225,10549.59457799936
9350.18341827392,10552.390958439604
9496.334846496578,10921.232204908729
9518.51123809814,10994.72514847912
9599.20794677734,10898.264314190534
9902.903953552242,10938.603275092904
10343.46315002441,10840.977358527954
9772.812278747555,10619.602571197458
9578.11852264404,10682.4166013384
10259.547515869137,11156.349707654137
10145.772346496577,11225.672864812006
9818.988319396969,11462.463300769956
9807.111068725582,11351.592823983308
9875.70949554443,11371.715169358593
9980.38258361816,11674.320580685453
10088.496475219723,11549.071695372862
10206.489021301268,11699.264076358108
10523.283454895018,11785.436145951087
10602.42617034912,11694.742538889543
10602.42617034912,11552.226764295378
10739.817970275877,11691.447708658045
10750.524253845215,11782.522830450882
10751.349800109861,12031.115093274628
10751.349800109861,11919.888335823833
10760.737892150877,11927.436160648132
10760.737892150877,11690.478395225746
10938.185081481932,11900.118218122887
10938.185081481932,11796.77903859616
10827.728019714354,11669.436503349329
10976.51128387451,11615.336979398122
11025.160667419432,11996.30674622212
11025.160667419432,11941.998704857097
10962.325447082518,11860.71980713094
11117.86560821533,11843.550770618476
10688.605957031248,11749.99467300272
10688.605957031248,11580.112374789433
10583.209564208983,11430.027957677838
10583.209564208983,11461.432391858956
10459.324981689451,11328.558287569527
10451.243515014647,11373.293336058085
10797.674736022947,11997.191259428473
11461.064323425291,12126.66762541753
11463.924736022947,12074.304295620166
11287.77429962158,11976.584422035296
10850.84429168701,11866.31019143319
11211.724418640135,11884.50992698301
11598.084434509276,12161.25960233879
12033.714164733885,12278.385493301956
11827.534355163574,12199.661735145943
11809.074577331541,12350.10254463724
11592.624458312986,12453.794988674028
11739.65402984619,12397.800449844657
11807.38451385498,12441.076883949456
11931.794609069824,12550.885830329173
12357.413887023922,12792.618307315628
12322.184394836422,12968.333965465563
12077.7837600708,12913.468734869413
12376.914085388182,13086.369504477367
12455.694450378416,12962.675183266683
12399.013847351074,12947.771118393975
13549.384712219236,13289.846203407362
13896.484474182125,13663.735924982084
14862.644371032713,13920.089316301317
14982.763847351074,13941.706373036488
14420.514244079588,14043.638920260606
14307.804664611815,14136.206732543691
15005.514244079588,14300.10325595918
15192.32378387451,14380.902443314817
15972.714561462399,14254.783144315883
15785.254386901852,14391.05350514219
15770.954307556149,14473.452259994701
15888.214363098143,14718.540273317458
15773.814720153807,14787.697148221136
16331.513847351074,14907.341418121676
16904.814323425293,15194.538218346974
17199.914878845215,15187.275251271843
17082.913688659668,15287.351403991877
17680.9144821167,15156.167508366521
17056.914085388184,15297.553042897127
16509.61420440674,15119.198281053228
15409.814323425291,14563.335686404444
16447.21376800537,14990.524718269662
16487.514442443848,15074.461846248854
16174.213966369625,14961.291913732088
16115.714363098143,15156.567193996076
16214.514640808102,15284.706312055958
16002.61400604248,15368.284046710092
16731.914085388184,15395.293703603536
16413.414482116696,15284.02266443224
16721.513847351074,15200.166513756489
17134.914878845215,15345.474027466498
17593.81472015381,15647.946391307853
16617.514442443848,15733.644380557798
16856.714958190918,15795.095941824575
16752.714561462402,15876.85811299908
16482.314323425293,15921.786158523819
16482.314323425293,15750.23099639959
16003.002052307129,15274.708261484951
15642.762504577637,15082.468220729595
16383.282585144043,15280.283861617101
16257.881980895996,15311.953014763116
15157.002464294434,15174.497609183107
14896.962303161621,15134.140142533215
14896.962303161621,15543.472502251436
14853.74047088623,15466.559484935864
13941.981285095215,15224.263696621332
15722.840385437012,15213.446133612182
15722.840385437012,15059.781206586576
15705.208206176758,15005.095739172291
15241.899932861328,14954.376879659883
15571.295593261719,14941.287263832985
15070.615753173828,14594.364684221768
15565.525512695312,14775.473541349289
15532.96533203125,14694.484512734363
16164.924835205078,14901.113335341135
17218.68524169922,14871.21995391175
17505.80560302734,14716.312253750564
18213.24542236328,14640.80015552909
18467.80560302734,14588.003820556229
